省份,城市,小区名字,价格,居室,面积,行政区,地址,是否在售or类型,origin_url
湖北,武汉,城投瀚城璞岸,"23000元/O
												广告","3居,4居",98~230平米,洪山区,[二至三环]洪山区雄楚大道450号,|在售||普通住宅||叠拼||低密居所||豪华居住区|,https://hanchengpuanct.fang.com/?from=xflist_xfgg
湖北,武汉,当代・铭山筑,"400万元/套起
												广告",5居,97~123平米,东湖高新区,[三至四环]东湖高新区光谷三路66号(地铁11号线生物园站e出口北行约800米处),|待售||商业||品牌地产||地铁沿线||不限购|,https://mingshanzhudd.fang.com/villa/?from=xflist_xfgg
湖北,武汉,招商樾望,价格待定,"3居,4居",116~154平米,汉阳区,[二至三环]汉阳区四新北路与芳草路交汇处(汉阳麦德龙旁),|待售||商住楼||品牌地产|,https://zhaoshangyuewang.fang.com/
湖北,武汉,武汉恒大科技旅游城,10800元/O,"2居,3居,4居,5居",69~275平米,江夏区,[四环以外]江夏区湖北省武汉市江夏区天子山大道景观路三号,|在售||商住楼||不限购|,https://kejilvyouchenghd.fang.com/
湖北,武汉,中建铂公馆,价格待定往期15423元/O,"3居,4居",112~156平米,洪山区,[二至三环]洪山区洪山区白沙洲大道与八坦路交叉路口,|待售||普通住宅||购物中心|,https://bogongguanzj.fang.com/
湖北,武汉,兰亭大境,价格待定,,,汉阳区,[三至四环]汉阳区长江路地铁6号线老关村站东侧,|待售||普通住宅||地铁沿线||江景地产|,https://lantingdajing.fang.com/
湖北,武汉,天纵御景湾,9464元/O,,,黄陂区,[三至四环]黄陂区川龙大道与后湖北路交汇处,|待售||普通住宅||不限购||湖景地产|,https://tianzongyujingwan.fang.com/
湖北,武汉,恒韵府,22000元/O,3居,102~149平米,汉阳区,[内至二环]汉阳区汉阳大道与江城大道交汇处(四号线五里墩站d出口),|在售||普通住宅||购物中心|,https://wanxianghuirunfu.fang.com/
湖北,武汉,建发金茂玺悦,13200元/O起,3居,97~114平米,江夏区,[三至四环]江夏区黄家湖畔・军运村南一公里・近地铁8号线,|待售||普通住宅||地铁沿线||低密居所||湖景地产|,https://xiyuejfjm.fang.com/
湖北,武汉,滨江金茂府,23000元/O,"2居,3居",96~130平米,汉阳区,[二至三环]汉阳区晴川大道与两湖路交汇处,|待售||普通住宅||住宅底商||品牌地产||地铁沿线|,https://binjiangjinmaofu.fang.com/
湖北,武汉,星河2049,18200元/O,"2居,3居,4居",88~172平米,江岸区,[二至三环]江岸区温馨路与景秀街交汇处(汉口城市广场旁),|待售||普通住宅||品牌地产||公园地产|,https://xinghe2049.fang.com/
湖北,武汉,中建壹品澜庭,9319元/O,"2居,3居,4居",80~130平米,经济开发区,"[四环以外]经济开发区经开大道与枫林三路,枫林四路交叉口处",|待售||普通住宅|,https://yipinlantingzj.fang.com/
湖北,武汉,海伦国际,价格待定往期11000元/O,"2居,3居",75~175平米,青山区,[三至四环]青山区武东中路(武东中学附近),|待售||普通住宅||叠拼||品牌地产||低密居所|,https://hailunguoji027.fang.com/
湖北,武汉,中建大公馆,24000元/O,"3居,4居",125~169平米,东湖高新区,[二至三环]东湖高新区关山大道与南湖大道交汇处(光谷软件园对面),|待售||普通住宅||购物中心||品牌地产||国际化社区|,https://dagongguanzj027.fang.com/
湖北,武汉,新城阅Z台,13525元/O,"3居,4居",113~140平米,洪山区,[三至四环]洪山区青菱乡建和村丽水路与南郊路交汇处(青菱街办事处附近),|在售||普通住宅||花园洋房||品牌地产||地铁沿线|,https://yuejingtaixc.fang.com/
湖北,武汉,电建地产吃媒湾,价格待定,,,汉阳区,[二至三环]汉阳区长江主轴・汉阳滨江公园旁(汉阳区老关路与拦江堤路交汇处),|待售||普通住宅||品牌地产||地铁沿线||江景地产|,https://mingyuejiangwandjdc.fang.com/
湖北,武汉,新城璞樾门第,价格待定周边18920元/O,"3居,4居",109~129平米,东湖高新区,[三至四环]东湖高新区光谷四路和流芳园横路交汇处,|待售||联排||普通住宅|,https://puyuemendixc027.fang.com/
湖北,武汉,武地・建发玺院,价格待定,"3居,4居",104~129平米,东湖高新区,[三至四环]东湖高新区花山生态新城花山大道与大长山路交汇处,|待售||联排||普通住宅|,https://wuhanxiyuan.fang.com/
湖北,武汉,联投梧桐郡悦园,6500元/O,"3居,4居",95~140平米,东湖高新区,[外环以外]东湖高新区梧桐湖新城梧桐湖酒店,|在售||普通住宅||品牌地产||不限购||湖景地产|,https://153778.fang.com/
湖北,武汉,禹洲朗廷元著,18000元/O,"3居,4居",108~143平米,经济开发区,[三至四环]经济开发区太子湖北路288号(经开永旺旁),|在售||商住楼||品牌地产||湖景地产|,https://langtingyuanzhuyz.fang.com/
湖北,武汉,保利上城,价格待定往期14292元/O,"2居,3居",79~131平米,洪山区,[二至三环]洪山区白沙洲大道与武梁路交汇处(青菱东路以西、江国路以南),|待售||普通住宅||品牌地产||经济住宅|,https://baolishangcheng027.fang.com/
湖北,武汉,北辰孔雀城航天府,6100元/O,"3居,4居",90~135平米,新洲区,[四环以外]新洲区武汉国家航天产业基地,|在售||普通住宅||花园洋房||品牌地产||低总价|,https://kongquechenghangtianfubc.fang.com/
湖北,武汉,保利星河九洲,15500元/O,"2居,3居,4居",79~139平米,汉阳区,[二至三环]汉阳区王家湾汉阳大道地铁4号线永安堂c出口,|在售||普通住宅||品牌地产||地铁沿线|,https://xinghejiuzhoubl.fang.com/
湖北,武汉,金地中核格林格林,价格待定,3居,106~123平米,蔡甸区,[四至外环]蔡甸区蔡甸区蔡甸街新天大道与中核三路交汇处,|待售||普通住宅||品牌地产||地铁沿线||不限购|,https://gelingelinjdzh.fang.com/
湖北,武汉,地铁时代常青城,11000元/O,"1居,2居",37~77平米,东西湖区,[三至四环]东西湖区轨道交通2号线常青城站b出口,|在售||普通住宅||市场类商铺||品牌地产|,https://changqingchengdtsd.fang.com/
湖北,武汉,洪山公馆,价格待定,"1居,2居,3居",61~121平米,洪山区,[内环以内]洪山区民主路(洪山广场及洪山体育馆旁),|待售||普通住宅|,https://hongshangongguan027.fang.com/
湖北,武汉,保利新武昌,价格待定往期13500元/O,,,洪山区,[二至三环]洪山区烽胜路与八坦北路交汇处(张家湾社区旁),|待售||普通住宅||品牌地产|,https://xinwuchangbl.fang.com/
湖北,武汉,东原乐见城,15500元/O,3居,92平米,洪山区,[二至中环]洪山区恒安路李纸路地铁7号线板桥站向南200米(保利心语10区旁),|在售||普通住宅||品牌地产||地铁沿线|,https://lejianchengdy.fang.com/
湖北,武汉,万丰丰泽园,11660元/O,"2居,3居",84~114平米,东西湖区,[三至四环]东西湖区马池北路与环湖路中路交汇处(常青花园西侧),|在售||普通住宅||花园洋房||低总价||经济住宅|,https://fengzeyuanwf.fang.com/
湖北,武汉,汉悦府坤Z,价格待定,"2居,3居",86~131平米,江岸区,[二至三环]江岸区后湖大道与怡康路交汇处(汉口城市广场对面),|待售||普通住宅||标准写字楼|,https://hanyuefukunjing.fang.com/
湖北,武汉,武汉中国健康谷,价格待定往期9500元/O,3居,108~126平米,蔡甸区,[三至四环]蔡甸区汉阳大道与五贤路交汇处(同济医院中法院区旁),|待售||普通住宅||商住公寓||不限购||loft|,https://zhongguojiankangguwh.fang.com/
湖北,武汉,汇悦天地三期,17100元/O,"3居,4居",130~165平米,江岸区,[二至三环]江岸区和谐大道与健身街的交汇处,|在售||普通住宅||购物中心||品牌地产||科技住宅|,https://huiyuetiandi.fang.com/3/
湖北,武汉,保利大都会,价格待定,"3居,4居",128~164平米,洪山区,[二至三环]洪山区洪山区群光华师旁・雄楚大道和卓刀泉南路交汇处,|待售||普通住宅||品牌地产||地铁沿线||湖景地产|,https://daduhuibl027.fang.com/
湖北,武汉,德雅国际城,6989元/O,"3居,4居,5居",112~279平米,新洲区,[三至四环]新洲区阳逻风情大道1号(柴泊湖旁),|在售||普通住宅||品牌地产||不限购||豪华居住区|,https://guojichengdy.fang.com/1/
湖北,武汉,联投汉口郡,9000元/O,4居,150平米,黄陂区,[三至四环]黄陂区汉口北大道特9号(胜海家园旁),|在售||普通住宅||花园洋房||品牌地产||不限购|,https://hankoujunlt.fang.com/
湖北,武汉,万科新都会,价格待定,,,洪山区,[二至三环]洪山区丁字桥路与岭南路交汇处,|待售||普通住宅||住宅底商||品牌地产||宜居生态地产|,https://xinduhuiwk027.fang.com/
湖北,武汉,华发中城峰景湾,7700元/O,"3居,4居",93~120平米,汉南区,[四环以外]汉南区武汉市汉洪高速汉南收费站出口(地铁16号线马影河站),|待售||普通住宅|,https://zhongchengfengjingwanhf.fang.com/
湖北,武汉,金地天悦,22000元/O,"3居,5居",99~168平米,东湖高新区,[二至三环]东湖高新区康泰路与荣院路交汇处(洪山高中旁),|在售||普通住宅||品牌地产|,https://jinditianyue.fang.com/
湖北,武汉,光谷之星公馆,14000元/O,"1居,2居,3居,4居,5居",40~137平米,东湖高新区,[三至四环]东湖高新区高新大道与光谷六路交汇处(东湖高新管委会东侧),|在售||商住楼||品牌地产||低总价||地铁沿线|,https://guangguzhixingzj.fang.com/
湖北,武汉,孔雀城航天府滨江苑,价格待定往期5720元/O,"2居,3居,4居",70~122平米,新洲区,[四环以外]新洲区国家航天产业基地平江大道延长线,|待售||普通住宅||花园洋房||品牌地产||低总价|,https://hangtianfubinjiangyuankqc.fang.com/
湖北,武汉,常青花园恒大御景,价格待定往期15800元/O,"2居,3居,4居",79~140平米,东西湖区,[三至四环]东西湖区常青花园6号(地铁2号线金银潭b2出口),|待售||普通住宅||品牌地产||地铁沿线||||武汉市实验幼儿园|||,https://changqinghuayuanhd.fang.com/
湖北,武汉,福星惠誉福星华府・o境,16328元/O,"3居,4居",118~127平米,江汉区,[二至三环]江汉区姑嫂树路与机电路交汇处(地铁6号线杨汊湖站c出口),|待售||普通住宅|,https://fuxinghuafufengjingfxhy.fang.com/
湖北,武汉,阳光城・央座,价格待定往期24000元/O,,,江汉区,[内至二环]江汉区建设大道与香港路交汇处,|待售||普通住宅||品牌地产||地铁沿线|,https://yangzuoygc.fang.com/
湖北,武汉,招商公园1872,41000元/O,4居,157~209平米,汉阳区,[二至中环]汉阳区江城大道与墨水湖南路交汇处(墨水湖南岸),|待售||普通住宅||商住公寓||湖景地产|,https://gongyuan1872zs.fang.com/
湖北,武汉,首地云梦台,16720元/O,,,江岸区,[二至三环]江岸区华岭路66号(市民之家旁),|待售||普通住宅||住宅底商||地铁沿线||豪华居住区|,https://yunmengtaisd.fang.com/
湖北,武汉,武汉国博新城,15974元/O,"2居,3居,4居",86~143平米,汉阳区,[二至中环]汉阳区四新南路与鄂渚路交汇处,|在售||普通住宅||地铁沿线|,https://guoboxinchengwh.fang.com/
湖北,武汉,天纵半岛蓝湾,13420元/O,"2居,3居",82~141平米,东西湖区,[三至四环]东西湖区宏图大道与银潭路交汇处(地铁3号线宏图大道d出口旁),|在售||普通住宅||花园洋房||地铁沿线||低密居所|,https://bandaolanwan027.fang.com/
湖北,武汉,万科金域国际,21480元/O,,,汉阳区,[内至二环]汉阳区汉阳大道和江城大道交汇处(地铁4号线五里墩站c出口),|待售||普通住宅||购物中心||地铁沿线|,https://jinyuguojiwk027.fang.com/
湖北,武汉,中建星光城,价格待定,3居,97~128平米,东湖高新区,"[三至四环]东湖高新区光谷三路以东,三星巷以北,何流路以南,孟新路以西",|待售||普通住宅||购物中心|,https://xingguangchengzj.fang.com/
湖北,武汉,东原启城,14407元/O,"3居,4居",125~175平米,洪山区,[二至三环]洪山区白沙五路与烽胜路交汇处,|待售||普通住宅||品牌地产||地铁沿线||宜居生态地产|,https://dongyuanqicheng.fang.com/
湖北,武汉,福星惠誉东湖城四期拾景,价格待定,"3居,4居",118~127平米,武昌区,[内至二环]武昌区武汉・东湖・园林路169号,|待售||普通住宅||湖景地产|,https://donghuchengfxhy.fang.com/
湖北,武汉,万科橙,价格待定周边8280元/O,3居,90~106平米,东湖高新区,[外环以外]东湖高新区创业大道与葛洪大道交汇处,|待售||普通住宅|,https://wankecheng2027.fang.com/
湖北,武汉,长投绿城m园,价格待定往期10000元/O,,,江夏区,[三至四环]江夏区栗庙路12号(湖北经济学院对面),|待售||普通住宅||品牌地产|,https://lanyuanctlc.fang.com/
湖北,武汉,琨瑜府,价格待定往期20100元/O,,,东湖高新区,[二至三环]东湖高新区关山大道与光谷创业街交汇处,|待售||普通住宅||标准写字楼||品牌地产|,https://kunyufu027.fang.com/
湖北,武汉,武汉恒大龙城,10317元/O,"2居,3居",80~128平米,黄陂区,[三至四环]黄陂区巨龙大道与兴龙路交汇旁(地铁2号线宋家岗站a出口),|待售||普通住宅||花园洋房||复合地产||宜居生态地产|,https://hangtianlongcheng.fang.com/
湖北,武汉,地铁时代云上城,价格待定,"2居,3居",83~138平米,东西湖区,[三至四环]东西湖区武汉轨道交通8号线金潭路站c出口,|待售||普通住宅||品牌地产|,https://ditieshidaiyunshangcheng.fang.com/
湖北,武汉,联投花山郡,价格待定往期11300元/O,"2居,3居,4居",85~139平米,东湖高新区,[三至四环]东湖高新区花山生态新城花城大道1号(严西湖大桥下桥处),|待售||联排||普通住宅||湖景地产||山景地产|,https://huashanjunlt.fang.com/
湖北,武汉,城投四新之光,价格待定往期13600元/O,"3居,4居",107~139平米,汉阳区,[二至三环]汉阳区四新南路与连通港西路交汇处(子期路以东),|待售||普通住宅||花园洋房||低密居所||经济住宅|,https://sixinzhiguangct.fang.com/
湖北,武汉,中粮光谷祥云,价格待定,,,东湖高新区,[三至四环]东湖高新区光谷三路与神墩三路交汇处(地铁11号线光谷生物园站南行350米),|待售||普通住宅||叠拼||宜居生态地产|,https://guangguxiangyunzl.fang.com/
湖北,武汉,龙湖光谷城,价格待定,"3居,4居",109~139平米,东湖高新区,[三至四环]东湖高新区东湖高新区光谷四路与神墩三路交汇处,|待售||普通住宅||叠拼||品牌地产||地铁沿线|,https://guangguchenglh.fang.com/
湖北,武汉,东湖金茂府,26000元/O,"3居,4居",94~138平米,武昌区,[二至三环]武昌区黄鹤路与明德路交汇处(杨春湖地铁站旁),|待售||商住楼||品牌地产||国际化社区||地铁沿线|,https://donghujinmaofu.fang.com/
湖北,武汉,光谷未来城,19500元/O,"3居,4居",94~140平米,东湖高新区,[二至三环]东湖高新区高新二路和光谷一路交汇处,|在售||普通住宅||叠拼||地铁沿线||山景地产|,https://guangguweilaichenghc.fang.com/
湖北,武汉,天赐金龙城,11400元/O起,"3居,4居",130~190平米,东西湖区,[三至四环]东西湖区径河路与张柏路交汇处,|待售||联排||普通住宅|,https://tcjlc.fang.com/
湖北,武汉,武汉锦绣香江,9500元/O,"2居,3居,4居",81~142平米,东湖高新区,[外环以外]东湖高新区光谷高新大道紫菱湖畔(武黄城铁葛店南站附近),|在售||联排||普通住宅||品牌地产||低密居所|,https://jinxiuxiangjiangwh027.fang.com/
湖北,武汉,网安合寓,价格待定,"1居,2居,3居",38~68平米,东西湖区,[三至四环]东西湖区临空港大道与塔西路交汇处,|待售||标准写字楼||商住公寓||小户型||不限购|,https://wanganheyu.fang.com/
湖北,武汉,玉金山墅,300万元/套起,"4居,5居",128~184平米,蔡甸区,[中环以外]蔡甸区蔡甸区金龙湖金龙岛,|在售||别墅||水景地产|,https://yujinshanshu.fang.com/
湖北,武汉,招商樾望・商墅,价格待定,,,汉阳区,[二至三环]汉阳区四新中路与凤凰湖环路交汇处,|待售||别墅||品牌地产|,https://zhaoshangyuewang.fang.com/villa/
湖北,武汉,南德长江城,11450元/O,"3居,4居",121~170平米,黄陂区,[三至四环]黄陂区地铁21号线高车站c出口200米,|在售||普通住宅||地铁沿线||低密居所||不限购|,https://changjiangchengnd.fang.com/
湖北,武汉,恒大翡翠华庭,15500元/O,"2居,4居",43~100平米,汉阳区,[二至三环]汉阳区四新南路和连通港西路东南角,|在售||商住楼||品牌地产||地铁沿线||水景地产|,https://feicuihuatinghd027.fang.com/
湖北,武汉,旭辉江山境,价格待定,,,洪山区,[三至四环]洪山区南郊路与建群一路交汇处(鲁巷实验小学建和分校正对面),|待售||普通住宅||住宅底商|,https://xuhuijiangshanjing.fang.com/
湖北,武汉,路劲时代城,价格待定往期8500元/O,3居,92~117平米,江夏区,[三至四环]江夏区五里界街界兴路与锦绣大道交叉口,|待售||普通住宅||住宅底商||品牌地产||不限购|,https://lujingshidaicheng.fang.com/
湖北,武汉,东原阅境,16000元/O,"3居,4居",95~125平米,东西湖区,[三至四环]东西湖区三店西路与吴新干线交叉口,|在售||普通住宅||住宅底商||品牌地产||地铁沿线|,https://dongyuanyuejing.fang.com/
湖北,武汉,江夏府,13310元/O,"3居,4居",115~140平米,江夏区,[四环以外]江夏区江夏区北华街东6号院,|在售||普通住宅||住宅底商|,https://jiangxiafu.fang.com/
湖北,武汉,伟鹏万科・御玺滨江,45000元/O,"3居,4居",178~262平米,江岸区,[内至二环]江岸区汉口滨江国际商务区核心区・中山大道旁,|在售||普通住宅||品牌地产||豪华居住区|,https://yuxibinjiangwpwk.fang.com/
湖北,武汉,中城新时代,13100元/O,"3居,4居",99~143平米,黄陂区,[三至四环]黄陂区宋家岗东路与景云路交汇处(地铁二号线航空总部站前行50米),|在售||普通住宅||叠拼|,https://xinshidaizc.fang.com/
湖北,武汉,金地悦江时代,价格待定周边21000元/O,"3居,4居",109~137平米,~口区,[二至三环]~口区古田二路37号(古田路肖家墩车站西300米),|待售||普通住宅||品牌地产||江景地产|,https://yuejiangshidaijd.fang.com/
湖北,武汉,新华尚水湾,24700元/O,"3居,4居,5居",110~333平米,~口区,[二至三环]~口区~口区政府旁(沿河大道519号),|在售||商住楼||地铁沿线||江景地产||宜居生态地产|,https://xinhuashangshuiwan.fang.com/
湖北,武汉,大华铂金瑞府三期,22500元/O,"3居,4居",115~169平米,青山区,[二至三环]青山区园林路15号(临江大道与园林路交汇处),|在售||普通住宅||地铁沿线||江景地产|,https://binjiangtiandidh.fang.com/3/
湖北,武汉,北大资源莲湖锦城,6200元/O,"3居,4居",95~140平米,武汉周边,[四至外环]武汉周边红莲湖大道(红莲湖国际高尔夫球场旁),|待售||独栋||联排||低密居所||不限购|,https://lianhujinchengbdzy.fang.com/villa/
湖北,武汉,南德国际城学府里,11185元/O,3居,110~122平米,黄陂区,[四至外环]黄陂区百泰路与百兴路交汇处(黄陂区实验小学对面),|在售||普通住宅||不限购|,https://guojichengxuefulind.fang.com/
湖北,武汉,吃没府,7328元/O,"3居,4居",93~139平米,新洲区,[四环以外]新洲区京东大道与五一南路交汇处,|在售||普通住宅||花园洋房||品牌地产||低总价|,https://mingyuehuafu027.fang.com/
湖北,武汉,正荣紫阙台,25000元/O,4居,143~163平米,东湖高新区,[二至三环]东湖高新区南湖大道208号,|在售||普通住宅||住宅底商||品牌地产||低密居所|,https://ziquetaizr.fang.com/
湖北,武汉,弘阳印月府,价格待定往期17200元/O,"3居,4居",112~156平米,汉阳区,[内至二环]汉阳区墨水湖南路与江堤中路交汇处,|待售||普通住宅||住宅底商||品牌地产||湖景地产|,https://yinyuefuhy.fang.com/
湖北,武汉,招商东城华府,15720元/O,"3居,4居",107~142平米,江夏区,[三至四环]江夏区富士康西路与梁山头交汇处,|在售||普通住宅||花园洋房||品牌地产||地铁沿线|,https://dongchenghuafuzs.fang.com/
湖北,武汉,世茂锦绣长江,价格待定往期21000元/O,,,汉阳区,"[内至二环]汉阳区滨江大道188号(中百仓储旁,武汉三十二中对面)",|待售||普通住宅||江景地产|,https://jinxiuchangjiangsm.fang.com/
湖北,武汉,吃梅蓟,15700元/O,"3居,4居",128~165平米,经济开发区,[二至三环]经济开发区芳草一路15号(汉阳客运站c出口),|在售||普通住宅||花园洋房||品牌地产||地铁沿线|,https://lingyuehuafu.fang.com/
湖北,武汉,顶L国际城,价格待定往期17500元/O,,,江汉区,[二至中环]江汉区发展大道与唐家墩路交汇处(地铁6/10号线唐家墩站旁),|待售||普通住宅||品牌地产||地铁沿线|,https://dingxiuguojicheng.fang.com/
湖北,武汉,尚Z瑞府,价格待定周边11869元/O,"3居,4居",102~163平米,黄陂区,[三至四环]黄陂区临空新城兴龙路与宋家岗东路交汇处(2号线航空总部站700米处),|待售||普通住宅||地铁沿线||低密居所|,https://shangjingyuefu.fang.com/
湖北,武汉,新港长江府,33000元/O,"2居,3居,4居",87~351平米,江汉区,[内环以内]江汉区沿江大道69号(沿江大道与民生路交汇处),|在售||普通住宅||大平层|,https://xingangchangjiangfu.fang.com/
湖北,武汉,纽宾凯公园里,19000元/O,3居,108~154平米,汉阳区,[内至二环]汉阳区汉阳大道与赫山路交汇处(十里铺地铁d出口),|在售||普通住宅||住宅底商||地铁沿线||复合地产|,https://gongyuanlinbk.fang.com/
湖北,武汉,碧桂园生态城东境,价格待定往期13814元/O,"3居,4居",105~207平米,东湖高新区,[三至四环]东湖高新区花山生态新城(花山大道与花城大道交汇处),|待售||普通住宅||叠拼||品牌地产||科技住宅|,https://dongjingshengtaichengbgy.fang.com/
湖北,武汉,五矿万境水岸,13500元/O,"3居,4居",109~130平米,江夏区,[三至四环]江夏区大桥新区豹子山街与山湖路交汇处,|在售||联排||普通住宅||低密居所||特色别墅|,https://wanjingshuianwk027.fang.com/
湖北,武汉,金地北辰阅风华,价格待定往期18450元/O,"3居,4居",106~141平米,东西湖区,[三至四环]东西湖区武汉市东西湖区奥园东路 ・ 金银潭永旺旁,|待售||普通住宅||品牌地产||地铁沿线||科技住宅|,https://beichenyuefenghuajd.fang.com/
湖北,武汉,绿城桃李春风,价格待定往期7100元/O,4居,176~190平米,新洲区,[四环以外]新洲区阳逻经济开发区管委会(21号线施岗站附近),|待售||普通住宅||低密居所|,https://taolichunfenglc027.fang.com/
湖北,武汉,状元府,价格待定往期8656元/O,"3居,4居",95~149平米,蔡甸区,[四环以外]蔡甸区蔡甸大街与公园路交汇处,|待售||普通住宅||花园洋房||不限购|,https://zhuangyuanfu027.fang.com/
湖北,武汉,禹洲翡丽公馆3期,12500元/O,,,东西湖区,[三至四环]东西湖区金山大道与赛洛城南路交汇处(沿海赛洛城入口处),|在售||普通住宅||品牌地产||公园地产|,https://sailuochengyh.fang.com/6/
湖北,武汉,光谷H+,21000元/O,2居,55平米,东湖高新区,[三至四环]东湖高新区高新大道与光谷五路交汇处,|待售||LOFT||酒店式公寓|,https://guangguh.fang.com/office/
湖北,武汉,世茂锦绣长江W+,16000元/O起,,,汉阳区,[内至二环]汉阳区滨江大道188号,|在售||住宅底商||购物中心||品牌地产||国际化社区|,https://jinxiuchangjiangsm.fang.com/shop/
湖北,武汉,葛洲坝太阳城,4000元/O,,,东湖高新区,[中环以外]东湖高新区高新四路与佛祖岭三路交汇处(武重集团附近),|在售||总部园区|,https://gezhoubataiyangcheng.fang.com/
湖北,武汉,中交香颂,价格待定,3居,105~110平米,新洲区,[四至外环]新洲区汪集街道汉施公路与荣生路交汇处,|待售||普通住宅||不限购|,https://zhongjiaoxiangsong027.fang.com/
湖北,武汉,世茂龙湾,188万元/套起,"2居,4居,5居",92~227平米,蔡甸区,[四环以外]蔡甸区知音湖大道特8号,|在售||合院||独栋||品牌地产||低总价|,https://shimaolongwan.fang.com/
湖北,武汉,金地中法仟佰汇,价格待定往期9072元/O,"1居,2居",46平米,蔡甸区,[四环以外]蔡甸区汉阳大道与五贤北路交汇处(欧尚超市旁),|待售||普通住宅||标准写字楼||不限购|,https://zhongfaqianbaihuijd.fang.com/
