address,company_name,ed,name,position,salary,url
武汉江夏区华为武汉研究所A6,华为技术有限公司,武汉.经验不限.硕士.云信合创.·.武汉.武汉安天.·.武汉.时光小屋.·.武汉.纬创软件.·.武汉.今日头条.·.武汉.15-30K.小米.·.武汉.14-18K.撬动科技.·.武汉.10-15K.多比特.·.武汉,java/C++/python/js,1.人工智能，网络安全优先;2.熟悉java/c++/python/js 中的至少一种                            ;                                                消费者BG/硬件工程与产品开发管理部,15000-30000元,https://www.zhipin.com//job_detail/8db03f266502995b0XN90ty9EFY~.html
武汉江夏区武汉未来科技城停车场(出口),北京旷视科技有限公司,武汉.3-5年.本科.北京安博通.·.武汉.华中时讯科技.·.武汉.编玩边学.·.武汉.小码联城.·.武汉.算法思维编程.·.武汉.6-12K.乐谷游戏.·.武汉.6-11K.慧通远达.·.武汉.7-9K.卡巴Kabba教育.·.武汉,Python,工作职责;负责搭建和持续改进数据服务平台的后端服务 负责技术攻关和创新技术引用，解决产品开发过程中的高性能，高并发和高可靠性问题 指导和协调其他开发人员的工作;任职资格;3年以上的后端开发工作经验 有良好的计算机专业知识和扎实的编程功底，计算机相关专业本科及以上学历 熟练掌握Python/Golang开发语言和Web框架 熟悉MySQL/Redis/MongoDB 熟悉分布式、微服务、高性能Web服务的开发，有一定的系统架构设计能力者优先 有独立分析和解决问题的能力，有良好的团队合作精神                            ;一波清北大的靠谱队友，巨大的成长空间。;                                                北京旷视科技有限公司成立于2011 年，是全球领先的人工智能科技企业，以自研视觉感知算法引擎为核心，致力于持续打造在各商业领域的AIoT 操作系统，以及深度构建具备连接百亿物联网设备能力的生态系统。旷视持续聚焦算法与工程创新，通过底层统一的AIoT 操作系统（AIoT OS）建设，旷视正在为200,15000-30000元,https://www.zhipin.com//job_detail/d3260338568f75cd03x60t6-E1c~.html
武汉洪山区光谷软件园,北京神州绿盟信息安全科技股份有限公司,武汉.1-3年.本科.武汉从心.·.武汉.武汉杭久电气有限公司.·.武汉.瑞斯利.·.武汉.华为技术有限公司.·.武汉.武汉安天.·.武汉.12-16K.数字政通.·.武汉.10-15K.好拍在线.·.武汉.15-20K.CmsTop.·.武汉,Python研发工程师,岗位职责:;1. 负责安全平台web后端研发；;2. 解决产品开发过程中的高性能、高并发和高可靠性问题；;岗位要求:;1、本科及以上学历，有实际 Python Web 开发经验；;2、精通Python语言，有实战项目经验；;3、熟练掌握至少一种Python web开发框架（Django、Flask、Tornado等）；;4、熟练使用至少一种常见数据库 MySQL/PostgreSQL等；                            ;                                                绿盟科技（NSFOCUS）成立于2000年，并于2014年1月29日马年新春来临之际成功上市！绿盟科技总部设在北京。在美国硅谷、日本东京设有子公司，在北京、成都、西安、武汉建有研发中心，国内业务机构遍布39个大中型城市，海内外员工超过2000人。;绿盟科技始终专注于网络安全技术的研究，是中国网络安,12000-24000元,https://www.zhipin.com//job_detail/ccdcfeaa7212dbd20Xx639S1F1M~.html
武汉市 洪山区 华为客户服务中心(武汉光谷店),华为技术有限公司,武汉.经验不限.本科.绿盟科技.·.武汉.天融信.·.武汉.华为技术有限公司.·.武汉.海岸跃动.·.武汉.峰道网络传媒.·.武汉.10-15K.千手数位科技.·.武汉.12-21K.武汉联影医疗.·.武汉.11-16K.烽火通信.·.武汉,通用软件开发工程师(python),职责描述;1、开发高效可靠的自动化测试框架；;2、承担测试例的开发工作;3、探索嵌入式Python/C混合编程技术;专业知识;1、精通Python语言，熟悉C语言，掌握常用的数据结构、算法、基础框架等；;2、熟悉测试框架gtest、fff等；;3、具备Linux环境开发经验；;4、熟悉Docker/k8s者优先；;5、具有Python/C混合编程经验者优先；;6、具有中间件、数据库使用经验者优先；;业务技能;1、具有2年以上软件开发经验，能够独立承担需求的开发实现；;2、具有良好的沟通能力，有团队合作精神，对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力；;其他：;1. 工作常驻地【南京】                            ;                                                华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。;市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,14000-27000元,https://www.zhipin.com//job_detail/fbca18c0aeb4dab60Hd83Ni7EFs~.html
武汉市 洪山区 鹏程国际C座 17楼,武汉赛维尔生物科技有限公司,武汉.3-5年.本科.金鹏.·.武汉.小码联城.·.武汉.南方数码.·.武汉.时光小屋.·.武汉.速云星博.·.武汉.10-15K.BISTel.·.武汉.18-35K.北京点行.·.武汉.9-14K.计算机技术以及应用所.·.武汉,python大数据工程师,"岗位职责：;1、负责人工智能、机器学习相关项目的应用开发； ;2．参与和推动技术落地到项目应用上，包括但不限于图像处理、语音、大数据等前沿技术； ;3、挖掘实际应用场景需求,借助第三方AI与大数据能力为现有平台多种应用场景赋能； ;4、参与公司产品快速原型开发，创新产品研究；;5、参与项目核心逻辑的需求分析、系统设计；;6、参与业务产品实现方案与技术调研，制定开发方案；;7、做好上级经理交办的其它各项工作。;岗位要求：;1、计算机,自动化相关专业本科；;2、有扎实的编程基础，有python三年以上的项目开发经验，熟悉开源框架：Django,Flask,Numpy,Pandas,scipy；;3、熟悉Linux，有良好的数据结构基础和算法基础；;4、掌握Oracle、Mysql、Redis、Postgreslq、Neo4j其中的一种或多种；;5、具有良好的通用模块和框架设计能力；;6、熟悉VUE开发。                            ;                                                武汉赛维尔生物科技有限公司（武汉谷歌生物科技有限公司）是一家专注于科研服务和科研试剂的公司。成立于2007年，注册资金1500万，员工1000余人，经过12年的努力，已具备一定的规模及实力，现拥有专业的科研服务团队，总部位于武汉，同时在美国、上海、北京、广州、南京、成都、西安、济南、长沙、昆明、合肥",15000-20000元,https://www.zhipin.com//job_detail/cfd62684d1997bc00XJ_3ty1FFY~.html
武汉洪山区保利国际中心,北京字节跳动科技有限公司,武汉.经验不限.本科.武汉掌中宝.·.武汉.启慧众智.·.武汉.康博嘉.·.武汉.旷视MEGVII.·.武汉.北京点行.·.武汉.15-18K.海岸跃动.·.武汉.11-18K.武汉安天.·.武汉.7-12K.朱雀闻天.·.武汉,Python,职位描述;1、负责对标业内顶级 PaaS 和  SaaS 平台的需求研究、技术研究和实现，包括但不限于底层元数据管理、高度灵活的权限管理系统、可扩展的数据存储方案、分布式搜索引擎技术;2、负责团队服务质量、稳定性，从工具、系统上提升团队开发效率，对重点及有难度的技术攻坚;3、负责团队 Scrum 流程推进和优化;4、负责发现和产出对团队效率提升有价值的产品和工具;5、更多的工作内容，欢迎你过来自己定义：）！;职位要求经验1-3年学历本科及以上;1、良好的设计和编码品味，热爱写代码，若有代码洁癖更佳;2、动手能力强、喜欢折腾，有解决复杂问题的能力与兴趣;3、编程语言不限，若有 Go 或 Python 经验更佳;4、对可扩展性、稳定性、性能、质量有特别的执着，若有高可用、高性能 Web 实践经验更佳;5、掌握 Web 后端开发技术: 协议、架构、存储、缓存、搜索、安全、消息队列等;6、较好的产品意识，关注数据，愿意将产品效果做为工作最重要的驱动因素                            ;                                                （有兴趣的同学可以直接发送简历提高效率，看到即回复）;公司介绍：字节跳动（今日头条母公司）成立于 2012 年，是一家技术驱动的移动互联网公司。我们致力于通过技术，给用户推荐感兴趣的信息，改变整个内容生产和消费领域。目前产品矩阵包含今日头条、抖音、西瓜视频、抖音火山版、悟空问答、懂车帝，TopBuz,18000-35000元,https://www.zhipin.com//job_detail/366bab326f2549dd1XB53Ny4EVA~.html
武汉市 东西湖区 武汉临空港经济技术开发区,北京天融信网络安全技术有限公司,武汉.5-10年.本科.云峰核信.·.武汉.武汉从心.·.武汉.跟谁学.·.武汉.大玩家.·.武汉.丰巢科技.·.武汉.12-18K.武汉公用电子.·.武汉.13-20K.武汉明源云.·.武汉.15-25K.木仓科技.·.武汉,Python高级开发工程师,岗位职责：;1、参与项目需求分析、业务逻辑流程设计、文档编写；;2、负责主要程序代码编写；;3、协助对所开发的功能进行测试，协助产品部署；;任职资格：;1、精通Python，编写过web应用程序；;2、熟悉Django/Flask等任意Web框架一种或者多种；;3、掌握Web页面交互流程，熟悉Javascript调试技术；;4、熟悉网络编程，熟悉tcp，http等通讯协议，熟练使用多进程和多线程；;5、熟悉mysql、redis等常用储存方案及基本原理，能够独立地合理设计数据库结构；;6、精通Linux系统结构，并熟练使用各种linux操作系统命令；;7、沟通能力好，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意思；;8、无障碍阅读英文文档；;9、本科及以上学历，5年以上工作经验；                            ;                                                一、	公司简介;天融信科技集团创始于1995年，是中国领先的网络安全、大数据与安全云服务提供商。于2017年在A股上市（股票代码：002212）。天融信坚持自主创新，连续19年位居中国网络安全防火墙市场第一，并在安全硬件、整体网络安全市场处于领导地位。面对大、智、移、云、物时代的安全挑战，天融信构建,15000-20000元,https://www.zhipin.com//job_detail/4294699215c273fc1H1-2dS7GFo~.html
武汉市 洪山区 光谷新发展国际中心A座 16楼,武汉编程猫科技有限公司,武汉.经验不限.本科.啊哈编程.·.武汉.傲梦网络科技.·.武汉.西米美语.·.武汉.智线云.·.武汉.火花思维.·.武汉.6-10K.TutorABC.·.武汉.5-10K.算法思维编程.·.武汉.5-8K.中科未来创意.·.武汉,"少儿编程老师（C,Java,python,Scratch等）","出勤时间：（早班）9:00-18:00；;         （晚班）14:00-21:00；;          周末（全班）9:00-21:00。;休息时间：周内工作日双休;教育对象：4-17岁小朋友;作为少儿编程这个新兴领域的头号种子选手，正在光速成长的我们，正是优秀的你加入的最好时机。;我们能给你什么？欢脱的小伙伴，小朋友都稀饭的产品，大牛带你飞，一边上班一边撸猫，加班的内容居然是打游戏和看动漫！;游戏化管理，no fun go die,逢节必过;编程猫给你无限横纵向发展机会，只要你愿意，只要你肯学;我们可能是你们见过最重视你们想法的一个公司！;我们是编程猫，我们要把教育做成游戏。;我们发展很快，等你来建功立业！;我们需要你：;1、你需要用通俗易懂，赋有感染力的语言指导小朋友在编程的世界遨游（主要针对4-17岁的小朋友）;2、线下之余，你要进行教案的编写;3、针对小朋友的基本情况，进行个性化的课程讲授;4、你还需要撰写培养方案，以及及时给予课堂反馈，让每位小朋友都知道自己的学习成果;5.指导学生们开发制作有趣的软硬件创新项目。;6.当然最重要的是关爱小朋友的身心健康成长，帮助学生树立健康积极的学习心态和良好的生活习惯哦;7.你能够积极协助教研、技术等部门不断优化和完善课程质量和体验。;我们希望你：;1.一本或以上本科学历（主要是计算机类专业优先考虑，有编程语言基础（c , java, Python,Scratch等）），如二本学历需是相关专业：计算机相关专业、师范类、教育技术学;2.有教育行业相关从业背景更好;3.性格外向开朗，善于沟通，有耐心、责任心，较强文字功底或数据处理分析能力;4.热爱教育，喜欢小朋友，有极强的亲和力和耐心;5.敢于承担责任，目标感强，有志于在少儿编程教育行业长远发展;6.我们需要一个“有趣的”灵魂，需要你对新鲜事物有无限的好奇，对生活工作有无穷的热爱，对自我成长有不断的追求;我们能给你：;1.行业内领先的薪酬;2.双休；;3.五险一金；;4.超长春节放假时间；;5.部门奖金、团队奖金、个人奖金；;6.个人（光速）成长；;7.团队建设；;8.公司美食；;9.高大尚的办公环境；;10.超nice的领导；;11.最后就是 贡菊绿茶小仙胖虎山竹……五大猫旦了解一下？;工作地址：武汉市光谷新发展国际中心A座16楼;简历投递：*****                            ;                                                编程猫（Codemao）是中国知名青少年编程教育品牌，本着“无趣味，不编程”的教育理念，为全球青少年研发了图形化编程平台及系列编程课。通过学习，孩子们可以创作出充满奇思妙想的学科游戏、应用、动画、互动故事等作品，全方位锻炼逻辑思维能力、任务拆解能力、跨学科结合能力、审美能力和",8000-13000元,https://www.zhipin.com//job_detail/fdea1df5e1edea940nd83dy4F1U~.html
武汉市 江夏区 华为武汉研究所,华为技术有限公司,武汉.经验不限.本科.武汉飞越.·.武汉.华为.·.武汉.倍特威视.·.武汉.绿盟科技.·.武汉.熵智科技.·.武汉.12-16K.海达数云.·.武汉.15-20K.华工安鼎.·.武汉.15-20K.武汉云外恒.·.武汉,软件工程师（JAVA/Python/C/C++/AI/GPU）,关键技能：;1、 对技术有强烈的进取心，优秀的分析问题和解决问题的能力，抗压能力强;2、 精通Java/Python/C/C++/Go/Vue/Angular（其中一种），有2年以上软件编程/优化经验;3、 数据结构、操作系统、计算机体系结构等基础理论扎实;专业知识：;1、 计算机/信息系统/通讯等相关专业，本科及以上学历，英语四级及以上。;2、 对技术有激情，喜欢钻研，有较强的自主学习能力，能够快速接受和掌握新技术。;3、 具有良好的沟通交流能力和团队合作精神。                            ;                                                华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。;市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,15000-30000元,https://www.zhipin.com//job_detail/8ee641ec6512051b0XN939y0EVA~.html
武汉市 江夏区 华为武汉研究所,华为技术有限公司,武汉.经验不限.本科.华为技术有限公司.·.武汉.奇秦科技.·.武汉.青藤云安全.·.武汉.北京中科大洋.·.武汉.武汉天际航.·.武汉.15-30K.华为技术有限公司.·.武汉.12-20K.北京深瞐.·.武汉.15-20K.CmsTop.·.武汉,高级软件研发工程师-Java/C/C++/Go/Python,职责要求：;1、承担核心模块的高层设计、代码设计、代码编写、测试架构设计、静态检查等工作；;2、参与软件系统核心模块的技术竞争力构建，架构设计，跟踪分析业界发展趋势，完成技术竞争力识别，标杆分析和指标设定。;业务技能要求：;1、深入理解并精通C/C++/Java/Python/Go等一种或多种语言的开发应用，具备大型软件产品设计和开发经验;2、负责软件架构优化以及整改，微服务流程逻辑的高层设计和开发、服务级测试，提升产品的竞争力；;3、参与虚拟化、云化、运营商领域软件系统核心模块的技术竞争力构建，架构设计，跟踪分析业界发展趋势，完成技术竞争力识别，标杆分析和指标设定。;4、5年及以上项目开发经验，独立承担过模块开发、架构设计工作。;5、对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。                            ;                                                华为技术有限公司;华为技术有限公司是一家生产销售通信设备的民营通信科技公司，于1987年正式注册成立，总部位于中国广东省深圳市龙岗区坂田华为基地。[1]华为是全球领先的信息与通信技术（ICT）解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构,30000-60000元,https://www.zhipin.com//job_detail/e008deb79a811bf00nF62Nq6FlA~.html
武汉江夏区武汉未来科技城F区3栋10楼,武汉佰钧成技术有限责任公司,武汉.1-3年.本科.云辅材.·.武汉.赛维尔生物.·.武汉.阿革诺尔SCI.·.武汉.编玩边学.·.武汉.武汉睿智视讯科技.·.武汉.5-10K.算法思维编程.·.武汉.8-12K.未闻花名.·.武汉.5-7K.康博嘉.·.武汉,python,职责要求：;-2年以上Python实际项目经验;-熟悉Linux工作环境，了解Nginx、Apache等Web服务器，。;-熟悉PHP、Nodejs、Java等其他后端开发语言优先.;-掌握Ajax、CSS等前端技术。;-拥有优秀的数据库设计和优化能力，精通MySQL数据库应用，了解Redis/MongoDB等其他数据库系统;-熟悉爬虫系统，参与过大型分布式、海量数据系统相关开发者优先。;-良好的沟通，表达能力，具有团队合作精神，责任心强                            ;                                                武汉佰钧成技术有限责任公司（以下简称“佰钧成”）致力成为中国领先的数字技术服务提供商，总部位于中国科教之城武汉（光谷软件园）。自2006年成立以来，佰钧成秉承“创造价值 承诺必达”的服务宗旨，迅速成长为IBM、华为、Google、Micros,9000-14000元,https://www.zhipin.com//job_detail/d84d1fa9d53b254d0Hd82tW7F1s~.html
武汉市 洪山区 凯乐桂园A座 904-907,北京金信润天信息技术股份有限公司,武汉.1-3年.大专.朱雀闻天.·.武汉.千手数位科技.·.武汉.天琥教育.·.武汉.好孕妈妈.·.武汉.票易通.·.武汉.8-12K.天童美语.·.武汉.12-20K.智线云.·.武汉.7-12K.武汉政安护生消防集团.·.武汉,Python讲师,"岗位要求：;1、完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作；;2、按照教学规范和教学大纲高质量完成Python课程的授课任务；;3、带领学员参加实训并指导学员完成实操项目；;4、根据学生及市场需要，高质量完成公开课、讲座、网络直播课等授课任务；;5、结合搜索引擎的发展变化，实时改进教学方法，完善教学体系；;6、完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；;7、配合其它部门和集团完成相关工作。;任职要求：;1、 热爱教育行业，计算机相关专业，大学本科及以上学历，两年或以上工作经验；;2、 较好的心理素质，能够承受压力，具有较强的事业心与团队协作精神；;3、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；;4、 熟练掌握大数据相关算法与数据结构；;5、 精通Java语言开发经验，特别是数据库和多线程开发，熟悉常见的Java开发框架及开发能力；;6、 熟练掌握Python编程语言与机器学习框架；;7、 理解框架的设计思想及实现，具有良好的代码风格、接口设计与程序架构；;8、 2年（含）以上对于Hadoop、Hive、Impala, Hbase、Spark、Sqoop有实际的编码能力和海量数据的自动化分析处理项目经验；;9、 熟悉主流分布式处理框架，基于Hadoop的数据挖掘、大数据组件开发和封装；;10、有一年以上教学经验者优先考虑。                            ;                                                润天教育是北京金信润天信息技术股份有限公司武汉分公司（以下简称公司）旗下教育培训品牌，公司于2014年2月在武汉筹建成立培训中心。自购办公场地1200平米，坐落于武昌繁华地段，高层写字楼，虎泉地铁站旁，周围交通非常便利，各种配套设施齐全。目前已配有6间标准化培训教室，1间多功能综合实训室，1间100",8000-13000元,https://www.zhipin.com//job_detail/4278b904d0a2507f1HR42d66GVQ~.html
武汉市 洪山区 洪山区 光谷软件园,北京神州绿盟信息安全科技股份有限公司,武汉.经验不限.本科.阿兰诺.·.武汉.武汉联宇.·.武汉.唯理科技.·.武汉.卫宁健康.·.武汉.时光小屋.·.武汉.12-24K.华为技术有限公司.·.武汉.7-10K.更生行.·.武汉.12-20K.良品铺子.·.武汉,Python研发工程师,"工作职责:;1、从事Web前后台开发、设计任务；;2、参与研发过程中的需求分析和架构设计；;3、日常技术分享，文档编写，和其他各个职位沟通协作；;4、致力于提高产品用户体验；;任职资格:;1、熟悉Python，编写过web应用程序；;2、熟悉Django/Flask等任意Web框架一种或者多种。;3、掌握web页面交互流程，熟悉 Javascript调试技术。;4、熟悉PostgreSQL或MySQL数据库操作，熟悉SQL语句编写和性能调优。;5、有Linux环境使用经验，可以看懂并简单修改Bash/C/Python/Java代码。;6、理解并使用过源码管理工具/单元测试框架 /自动化测试工具。;7、沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识。;8、无障碍阅读英文文档。;9、本科及以上学历，2年以上工作经验。;有以下技能者加分：;1、关注或参与过一个以上的开源项目,理解开源软件的开发流程；;2、有安全或大数据的从业经验；;3、有数据挖掘经验。;4、熟悉敏捷开发流程。                            ;招聘长期有效，并招收实习生。;看准网最佳雇主第60名，网络安全第一名;公司崇尚技术，扁平化管理及丰富培训。;web应用防火墙为公司级明星产品，团队30+;物联网为公司战略主航道方向，目标15人。;                                                绿盟科技（NSFOCUS）成立于2000年，并于2014年1月29日马年新春来临之际成功上市！绿盟科技总部设在北京。在美国硅谷、日本东京设有子公司，在北京、成都、西安、武汉建有研发中心，国内业务机构遍布39个大中型城市，海内外员工超过2000人。;绿盟科技始终专注于网络安全技术的研究，是中国网络安",10000-20000元,https://www.zhipin.com//job_detail/db7055d31ac753581nN629--EVA~.html
武汉蔡甸区东合商务中心A座5楼509,东风设计研究院有限公司,武汉.1-3年.本科.海岸跃动.·.武汉.编玩边学.·.武汉.朱雀闻天.·.武汉.积善科技.·.武汉.网神信息技术(北....·.武汉.10-20K.绿盟科技.·.武汉.9-14K.唯理科技.·.武汉.5-10K.计算机技术以及应用所.·.武汉,Python,1.熟练并灵活掌握python语言;2.熟练掌握django和Django REST framework框架;3.熟练掌握数据库操作;本公司对学历有严格要求！一本院校及以上！                            ;                                                东风设计研究院有限公司创立于1973年，是国家高新技术企业，全国工程勘察设计百强单位，2005年改制成为混合所有制企业，2015年被认定为国家级工业设计中心，2018年9月被评定为国家服务型制造示范企业。;是一家以科技研发为主导、融合现代信息化技术，为客户提供全价值链体系驱动下的工艺装备与工程设计,6000-8000元,https://www.zhipin.com//job_detail/4499850d42c27af20XN72dy5E1Y~.html
武汉江夏区华为武汉研究所,华为技术有限公司,武汉.1-3年.本科.华为.·.武汉.北京深瞐.·.武汉.武大吉奥.·.武汉.北京驰诺佳.·.武汉.武汉众智鸿图.·.武汉.15-25K.青藤云安全.·.武汉.12-15K.国康私人医生.·.武汉.16-30K.华为.·.武汉,Java/python 开发工程师,岗位职责：;负责支撑业务的IT化系统和工具开发;岗位要求：;1、全日制本科及以上学历，计算机软件，熟练使用JAVA或者Python语言进行前后台开发；;2、掌握当前流行的开发技术，有大型系统开发经验者优先，有系统优化经验者优先；;3、业务理解能力好，有团队精神。                            ;天下英才，为我所用！;                                                消费者BG/硬件工程与产品开发管理部,15000-30000元,https://www.zhipin.com//job_detail/1bf19ebf3a561b0b0Hd-3N--GVc~.html
